"Country/Region"	"Confirmed"	"Deaths"	"Recovered"	"Active"	"New cases"	"New deaths"	"New recovered"	"Deaths / 100 Cases"	"Recovered / 100 Cases"	"Deaths / 100 Recovered"	"Confirmed last week"	"1 week change"	"1 week % increase"	"Eastern Mediterranean Dummy"	"Europe Dummy"	"Africa Dummy"	"Americas Dummy"	"Western Pacific Dummy"	"South-East Asia Dummy"
"1"	"Algeria"	27973	1163	18837	7973	616	8	749	4.16	67.34	"6.17"	23691	4282	18.07	NA	NA	1	NA	NA	NA
"2"	"Angola"	950	41	242	667	18	1	0	4.32	25.47	"16.940000000000001"	749	201	26.84	NA	NA	1	NA	NA	NA
"3"	"Benin"	1770	35	1036	699	0	0	0	1.98	58.53	"3.38"	1602	168	10.49	NA	NA	1	NA	NA	NA
"4"	"Botswana"	739	2	63	674	53	1	11	0.27	8.53	"3.17"	522	217	41.57	NA	NA	1	NA	NA	NA
"5"	"Burkina Faso"	1100	53	926	121	14	0	6	4.82	84.18	"5.72"	1065	35	3.29	NA	NA	1	NA	NA	NA
"6"	"Burundi"	378	1	301	76	17	0	22	0.26	79.63	"0.33"	322	56	17.39	NA	NA	1	NA	NA	NA
"7"	"Cabo Verde"	2328	22	1550	756	21	0	103	0.95	66.58	"1.42"	2071	257	12.41	NA	NA	1	NA	NA	NA
"8"	"Cameroon"	17110	391	14539	2180	402	6	0	2.29	84.97	"2.69"	16157	953	5.9	NA	NA	1	NA	NA	NA
"9"	"Central African Republic"	4599	59	1546	2994	0	0	0	1.28	33.62	"3.82"	4548	51	1.12	NA	NA	1	NA	NA	NA
"10"	"Chad"	922	75	810	37	7	0	0	8.13	87.85	"9.26"	889	33	3.71	NA	NA	1	NA	NA	NA
"11"	"Comoros"	354	7	328	19	0	0	0	1.98	92.66	"2.13"	334	20	5.99	NA	NA	1	NA	NA	NA
"12"	"Congo (Brazzaville)"	3200	54	829	2317	162	3	73	1.69	25.91	"6.51"	2851	349	12.24	NA	NA	1	NA	NA	NA
"13"	"Congo (Kinshasa)"	8844	208	5700	2936	13	4	190	2.35	64.45	"3.65"	8443	401	4.75	NA	NA	1	NA	NA	NA
"14"	"Cote d'Ivoire"	15655	96	10361	5198	59	0	183	0.61	66.18	"0.93"	14312	1343	9.38	NA	NA	1	NA	NA	NA
"15"	"Equatorial Guinea"	3071	51	842	2178	0	0	0	1.66	27.42	"6.06"	3071	0	0	NA	NA	1	NA	NA	NA
"16"	"Eritrea"	265	0	191	74	2	0	2	0	72.08	"0"	251	14	5.58	NA	NA	1	NA	NA	NA
"17"	"Eswatini"	2316	34	1025	1257	109	2	39	1.47	44.26	"3.32"	1826	490	26.83	NA	NA	1	NA	NA	NA
"18"	"Ethiopia"	14547	228	6386	7933	579	5	170	1.57	43.9	"3.57"	10207	4340	42.52	NA	NA	1	NA	NA	NA
"19"	"Gabon"	7189	49	4682	2458	205	0	219	0.68	65.13	"1.05"	6433	756	11.75	NA	NA	1	NA	NA	NA
"20"	"Gambia"	326	8	66	252	49	2	6	2.45	20.25	"12.12"	112	214	191.07	NA	NA	1	NA	NA	NA
"21"	"Ghana"	33624	168	29801	3655	655	0	307	0.5	88.63	"0.56000000000000005"	28430	5194	18.27	NA	NA	1	NA	NA	NA
"22"	"Guinea"	7055	45	6257	753	47	2	105	0.64	88.69	"0.72"	6590	465	7.06	NA	NA	1	NA	NA	NA
"23"	"Guinea-Bissau"	1954	26	803	1125	0	0	0	1.33	41.1	"3.24"	1949	5	0.26	NA	NA	1	NA	NA	NA
"24"	"Kenya"	17975	285	7833	9857	372	5	90	1.59	43.58	"3.64"	13771	4204	30.53	NA	NA	1	NA	NA	NA
"25"	"Lesotho"	505	12	128	365	0	0	0	2.38	25.35	"9.3800000000000008"	359	146	40.67	NA	NA	1	NA	NA	NA
"26"	"Liberia"	1167	72	646	449	5	0	5	6.17	55.36	"11.15"	1107	60	5.42	NA	NA	1	NA	NA	NA
"27"	"Madagascar"	9690	91	6260	3339	395	6	681	0.94	64.6	"1.45"	7153	2537	35.47	NA	NA	1	NA	NA	NA
"28"	"Malawi"	3664	99	1645	1920	24	0	6	2.7	44.9	"6.02"	2992	672	22.46	NA	NA	1	NA	NA	NA
"29"	"Mali"	2513	124	1913	476	3	1	2	4.93	76.12	"6.48"	2475	38	1.54	NA	NA	1	NA	NA	NA
"30"	"Mauritania"	6208	156	4653	1399	37	0	223	2.51	74.95	"3.35"	5923	285	4.81	NA	NA	1	NA	NA	NA
"31"	"Mauritius"	344	10	332	2	0	0	0	2.91	96.51	"3.01"	343	1	0.29	NA	NA	1	NA	NA	NA
"32"	"Mozambique"	1701	11	0	1690	32	0	0	0.65	0	NA	1507	194	12.87	NA	NA	1	NA	NA	NA
"33"	"Namibia"	1843	8	101	1734	68	0	26	0.43	5.48	"7.92"	1344	499	37.13	NA	NA	1	NA	NA	NA
"34"	"Niger"	1132	69	1027	36	0	0	0	6.1	90.72	"6.72"	1105	27	2.44	NA	NA	1	NA	NA	NA
"35"	"Nigeria"	41180	860	18203	22117	648	2	829	2.09	44.2	"4.72"	37225	3955	10.62	NA	NA	1	NA	NA	NA
"36"	"Rwanda"	1879	5	975	899	58	0	57	0.27	51.89	"0.51"	1629	250	15.35	NA	NA	1	NA	NA	NA
"37"	"Sao Tome and Principe"	865	14	734	117	2	0	38	1.62	84.86	"1.91"	746	119	15.95	NA	NA	1	NA	NA	NA
