"Country/Region"	"Confirmed"	"Deaths"	"Recovered"	"Active"	"New cases"	"New deaths"	"New recovered"	"Deaths / 100 Cases"	"Recovered / 100 Cases"	"Deaths / 100 Recovered"	"Confirmed last week"	"1 week change"	"1 week % increase"	"Eastern Mediterranean Dummy"	"Europe Dummy"	"Africa Dummy"	"Americas Dummy"	"Western Pacific Dummy"	"South-East Asia Dummy"
"1"	"Antigua and Barbuda"	86	3	65	18	4	0	5	3.49	75.58	"4.62"	76	10	13.16	NA	NA	NA	1	NA	NA
"2"	"Argentina"	167416	3059	72575	91782	4890	120	2057	1.83	43.35	"4.21"	130774	36642	28.02	NA	NA	NA	1	NA	NA
"3"	"Bahamas"	382	11	91	280	40	0	0	2.88	23.82	"12.09"	174	208	119.54	NA	NA	NA	1	NA	NA
"4"	"Barbados"	110	7	94	9	0	0	0	6.36	85.45	"7.45"	106	4	3.77	NA	NA	NA	1	NA	NA
"5"	"Belize"	48	2	26	20	0	0	0	4.17	54.17	"7.69"	40	8	20	NA	NA	NA	1	NA	NA
"6"	"Bolivia"	71181	2647	21478	47056	1752	64	309	3.72	30.17	"12.32"	60991	10190	16.71	NA	NA	NA	1	NA	NA
"7"	"Brazil"	2442375	87618	1846641	508116	23284	614	33728	3.59	75.61	"4.74"	2118646	323729	15.28	NA	NA	NA	1	NA	NA
"8"	"Canada"	116458	8944	0	107514	682	11	0	7.68	0	NA	112925	3533	3.13	NA	NA	NA	1	NA	NA
"9"	"Chile"	347923	9187	319954	18782	2133	75	1859	2.64	91.96	"2.87"	333029	14894	4.47	NA	NA	NA	1	NA	NA
"10"	"Colombia"	257101	8777	131161	117163	16306	508	11494	3.41	51.02	"6.69"	204005	53096	26.03	NA	NA	NA	1	NA	NA
"11"	"Costa Rica"	15841	115	3824	11902	612	11	88	0.73	24.14	"3.01"	11534	4307	37.34	NA	NA	NA	1	NA	NA
"12"	"Cuba"	2532	87	2351	94	37	0	2	3.44	92.85	"3.7"	2446	86	3.52	NA	NA	NA	1	NA	NA
"13"	"Dominica"	18	0	18	0	0	0	0	0	100	"0"	18	0	0	NA	NA	NA	1	NA	NA
"14"	"Dominican Republic"	64156	1083	30204	32869	1248	20	1601	1.69	47.08	"3.59"	53956	10200	18.9	NA	NA	NA	1	NA	NA
"15"	"Ecuador"	81161	5532	34896	40733	467	17	0	6.82	43	"15.85"	74620	6541	8.77	NA	NA	NA	1	NA	NA
"16"	"El Salvador"	15035	408	7778	6849	405	8	130	2.71	51.73	"5.25"	12207	2828	23.17	NA	NA	NA	1	NA	NA
"17"	"Grenada"	23	0	23	0	0	0	0	0	100	"0"	23	0	0	NA	NA	NA	1	NA	NA
"18"	"Guatemala"	45309	1761	32455	11093	256	27	843	3.89	71.63	"5.43"	39039	6270	16.06	NA	NA	NA	1	NA	NA
"19"	"Guyana"	389	20	181	188	19	0	0	5.14	46.53	"11.05"	337	52	15.43	NA	NA	NA	1	NA	NA
"20"	"Haiti"	7340	158	4365	2817	25	1	0	2.15	59.47	"3.62"	7053	287	4.07	NA	NA	NA	1	NA	NA
"21"	"Honduras"	39741	1166	5039	33536	465	50	117	2.93	12.68	"23.14"	34611	5130	14.82	NA	NA	NA	1	NA	NA
"22"	"Jamaica"	853	10	714	129	11	0	0	1.17	83.7	"1.4"	809	44	5.44	NA	NA	NA	1	NA	NA
"23"	"Mexico"	395489	44022	303810	47657	4973	342	8588	11.13	76.82	"14.49"	349396	46093	13.19	NA	NA	NA	1	NA	NA
"24"	"Nicaragua"	3439	108	2492	839	0	0	0	3.14	72.46	"4.33"	3147	292	9.28	NA	NA	NA	1	NA	NA
"25"	"Panama"	61442	1322	35086	25034	1146	28	955	2.15	57.1	"3.77"	54426	7016	12.89	NA	NA	NA	1	NA	NA
"26"	"Paraguay"	4548	43	2905	1600	104	2	111	0.95	63.87	"1.48"	3748	800	21.34	NA	NA	NA	1	NA	NA
"27"	"Peru"	389717	18418	272547	98752	13756	575	4697	4.73	69.93	"6.76"	357681	32036	8.96	NA	NA	NA	1	NA	NA
"28"	"Saint Kitts and Nevis"	17	0	15	2	0	0	0	0	88.24	"0"	17	0	0	NA	NA	NA	1	NA	NA
"29"	"Saint Lucia"	24	0	22	2	0	0	0	0	91.67	"0"	23	1	4.35	NA	NA	NA	1	NA	NA
"30"	"Saint Vincent and the Grenadines"	52	0	39	13	0	0	0	0	75	"0"	50	2	4	NA	NA	NA	1	NA	NA
"31"	"Suriname"	1483	24	925	534	44	1	35	1.62	62.37	"2.59"	1079	404	37.44	NA	NA	NA	1	NA	NA
"32"	"Trinidad and Tobago"	148	8	128	12	1	0	0	5.41	86.49	"6.25"	137	11	8.03	NA	NA	NA	1	NA	NA
"33"	"US"	4290259	148011	1325804	2816444	56336	1076	27941	3.45	30.9	"11.16"	3834677	455582	11.88	NA	NA	NA	1	NA	NA
"34"	"Uruguay"	1202	35	951	216	10	1	3	2.91	79.12	"3.68"	1064	138	12.97	NA	NA	NA	1	NA	NA
"35"	"Venezuela"	15988	146	9959	5883	525	4	213	0.91	62.29	"1.47"	12334	3654	29.63	NA	NA	NA	1	NA	NA
