"Country/Region"	"Confirmed"	"Deaths"	"Recovered"	"Active"	"New cases"	"New deaths"	"New recovered"	"Deaths / 100 Cases"	"Recovered / 100 Cases"	"Deaths / 100 Recovered"	"Confirmed last week"	"1 week change"	"1 week % increase"	"Eastern Mediterranean Dummy"	"Europe Dummy"	"Africa Dummy"	"Americas Dummy"	"Western Pacific Dummy"	"South-East Asia Dummy"
"1"	"Afghanistan"	36263	1269	25198	9796	106	10	18	3.5	69.49	"5.04"	35526	737	2.07	1	NA	NA	NA	NA	NA
"2"	"Bahrain"	39482	141	36110	3231	351	1	421	0.36	91.46	"0.39"	36936	2546	6.89	1	NA	NA	NA	NA	NA
"3"	"Djibouti"	5059	58	4977	24	9	0	11	1.15	98.38	"1.17"	5020	39	0.78	1	NA	NA	NA	NA	NA
"4"	"Egypt"	92482	4652	34838	52992	420	46	1007	5.03	37.67	"13.35"	88402	4080	4.62	1	NA	NA	NA	NA	NA
"5"	"Iran"	293606	15912	255144	22550	2434	212	1931	5.42	86.9	"6.24"	276202	17404	6.3	1	NA	NA	NA	NA	NA
"6"	"Iraq"	112585	4458	77144	30983	2553	96	1927	3.96	68.52	"5.78"	94693	17892	18.89	1	NA	NA	NA	NA	NA
"7"	"Jordan"	1176	11	1041	124	8	0	0	0.94	88.52	"1.06"	1223	-47	-3.84	1	NA	NA	NA	NA	NA
"8"	"Kuwait"	64379	438	55057	8884	606	5	684	0.68	85.52	"0.8"	59763	4616	7.72	1	NA	NA	NA	NA	NA
"9"	"Lebanon"	3882	51	1709	2122	132	0	17	1.31	44.02	"2.98"	2905	977	33.63	1	NA	NA	NA	NA	NA
"10"	"Libya"	2827	64	577	2186	158	4	24	2.26	20.41	"11.09"	1980	847	42.78	1	NA	NA	NA	NA	NA
"11"	"Morocco"	20887	316	16553	4018	609	3	115	1.51	79.25	"1.91"	17562	3325	18.93	1	NA	NA	NA	NA	NA
"12"	"Oman"	77058	393	57028	19637	1053	9	1729	0.51	74.01	"0.69"	68400	8658	12.66	1	NA	NA	NA	NA	NA
"13"	"Pakistan"	274289	5842	241026	27421	1176	20	3592	2.13	87.87	"2.42"	266096	8193	3.08	1	NA	NA	NA	NA	NA
"14"	"Qatar"	109597	165	106328	3104	292	0	304	0.15	97.02	"0.16"	107037	2560	2.39	1	NA	NA	NA	NA	NA
"15"	"Saudi Arabia"	268934	2760	222936	43238	1993	27	2613	1.03	82.9	"1.24"	253349	15585	6.15	1	NA	NA	NA	NA	NA
"16"	"Somalia"	3196	93	1543	1560	18	0	22	2.91	48.28	"6.03"	3130	66	2.11	1	NA	NA	NA	NA	NA
"17"	"Sudan"	11424	720	5939	4765	39	3	49	6.3	51.99	"12.12"	10992	432	3.93	1	NA	NA	NA	NA	NA
"18"	"Syria"	674	40	0	634	24	2	0	5.93	0	NA	522	152	29.12	1	NA	NA	NA	NA	NA
"19"	"Tunisia"	1455	50	1157	248	3	0	15	3.44	79.52	"4.32"	1381	74	5.36	1	NA	NA	NA	NA	NA
"20"	"United Arab Emirates"	59177	345	52510	6322	264	1	328	0.58	88.73	"0.66"	57193	1984	3.47	1	NA	NA	NA	NA	NA
"21"	"West Bank and Gaza"	10621	78	3752	6791	152	2	0	0.73	35.33	"2.08"	8916	1705	19.12	1	NA	NA	NA	NA	NA
"22"	"Yemen"	1691	483	833	375	10	4	36	28.56	49.26	"57.98"	1619	72	4.45	1	NA	NA	NA	NA	NA
