"Country/Region"	"Confirmed"	"Deaths"	"Recovered"	"Active"	"New cases"	"New deaths"	"New recovered"	"Deaths / 100 Cases"	"Recovered / 100 Cases"	"Deaths / 100 Recovered"	"Confirmed last week"	"1 week change"	"1 week % increase"	"Eastern Mediterranean Dummy"	"Europe Dummy"	"Africa Dummy"	"Americas Dummy"	"Western Pacific Dummy"	"South-East Asia Dummy"
"1"	"Albania"	4880	144	2745	1991	117	6	63	2.95	56.25	"5.25"	4171	709	17	NA	1	NA	NA	NA	NA
"2"	"Andorra"	907	52	803	52	10	0	0	5.73	88.53	"6.48"	884	23	2.6	NA	1	NA	NA	NA	NA
"3"	"Armenia"	37390	711	26665	10014	73	6	187	1.9	71.32	"2.67"	34981	2409	6.89	NA	1	NA	NA	NA	NA
"4"	"Austria"	20558	713	18246	1599	86	1	37	3.47	88.75	"3.91"	19743	815	4.13	NA	1	NA	NA	NA	NA
"5"	"Azerbaijan"	30446	423	23242	6781	396	6	558	1.39	76.34	"1.82"	27890	2556	9.16	NA	1	NA	NA	NA	NA
"6"	"Belarus"	67251	538	60492	6221	119	4	67	0.8	89.95	"0.89"	66213	1038	1.57	NA	1	NA	NA	NA	NA
"7"	"Belgium"	66428	9822	17452	39154	402	1	14	14.79	26.27	"56.28"	64094	2334	3.64	NA	1	NA	NA	NA	NA
"8"	"Bosnia and Herzegovina"	10498	294	4930	5274	731	14	375	2.8	46.96	"5.96"	8479	2019	23.81	NA	1	NA	NA	NA	NA
"9"	"Bulgaria"	10621	347	5585	4689	194	7	230	3.27	52.58	"6.21"	8929	1692	18.95	NA	1	NA	NA	NA	NA
"10"	"Croatia"	4881	139	3936	806	24	3	70	2.85	80.64	"3.53"	4370	511	11.69	NA	1	NA	NA	NA	NA
"11"	"Cyprus"	1060	19	852	189	3	0	0	1.79	80.38	"2.23"	1038	22	2.12	NA	1	NA	NA	NA	NA
"12"	"Czechia"	15516	373	11428	3715	192	2	0	2.4	73.65	"3.26"	14098	1418	10.06	NA	1	NA	NA	NA	NA
"13"	"Denmark"	13761	613	12605	543	109	0	77	4.45	91.6	"4.8600000000000003"	13453	308	2.29	NA	1	NA	NA	NA	NA
"14"	"Estonia"	2034	69	1923	42	0	0	1	3.39	94.54	"3.59"	2021	13	0.64	NA	1	NA	NA	NA	NA
"15"	"Finland"	7398	329	6920	149	5	0	0	4.45	93.54	"4.75"	7340	58	0.79	NA	1	NA	NA	NA	NA
"16"	"France"	220352	30212	81212	108928	2551	17	267	13.71	36.86	"37.200000000000003"	214023	6329	2.96	NA	1	NA	NA	NA	NA
"17"	"Georgia"	1137	16	922	199	6	0	2	1.41	81.09	"1.74"	1039	98	9.43	NA	1	NA	NA	NA	NA
"18"	"Germany"	207112	9125	190314	7673	445	1	259	4.41	91.89	"4.79"	203325	3787	1.86	NA	1	NA	NA	NA	NA
"19"	"Greece"	4227	202	1374	2651	34	0	0	4.78	32.51	"14.7"	4012	215	5.36	NA	1	NA	NA	NA	NA
"20"	"Greenland"	14	0	13	1	1	0	0	0	92.86	"0"	13	1	7.69	NA	1	NA	NA	NA	NA
"21"	"Holy See"	12	0	12	0	0	0	0	0	100	"0"	12	0	0	NA	1	NA	NA	NA	NA
